instance_id,raw_pred_speedup_ratio,pred_speedup_ratio,gold_speedup_ratio,human_speedup_ratio,correctness,correctness_pct,pre_edit_runtime
pandas-dev__pandas-39972,2.1748353188036025,2.1748353188036025,1.796293921510716,1.2107346647226453,1.0,1.0,0.2261261469100282
pandas-dev__pandas-40818,1.1091781304835748,1.1091781304835748,1.9519532165097477,0.5682401202559948,1.0,1.0,0.42125633125000606
pandas-dev__pandas-42353,1.8020750716083147,1.8020750716083147,1.069593487201336,1.6848224051210021,1.0,1.0,0.012395873502979157
pandas-dev__pandas-42704,1.006016666657728,1.006016666657728,1.8467575424626903,0.5447475608065926,1.0,1.0,0.059351572449959346
pandas-dev__pandas-42841,1.0217009683126648,1.0217009683126648,1.6070559658538823,0.6357594197223873,1.0,1.0,0.020650586070010378
pandas-dev__pandas-43073,1.1562104186440063,1.1562104186440063,1.051647742593662,1.09942747159088,1.0,1.0,0.1531757381998068
pandas-dev__pandas-43243,1.0335820208953217,1.0335820208953217,1.1096668675217196,0.9314345153006844,1.0,1.0,1.0932618913999612
pandas-dev__pandas-43285,2.868004442060966,2.868004442060966,2.5984878355900745,1.10372055731009,1.0,1.0,0.08302804307993938
pandas-dev__pandas-43335,2.0101137237556723,2.0101137237556723,2.049816337622735,0.9806311360006489,1.0,1.0,0.02647621596499994
pandas-dev__pandas-43352,1.485962816324969,1.485962816324969,1.5345137570750738,0.9683607002372873,1.0,1.0,0.07802779294997436
pandas-dev__pandas-43518,2.578565558058146,2.578565558058146,1.815699897253494,1.4201496414460317,1.0,1.0,0.10596898390203568
pandas-dev__pandas-43683,3.052681549146395,3.052681549146395,3.0072941408364318,1.015092440640788,1.0,1.0,0.37192344674999733
pandas-dev__pandas-43694,1.0121358464435637,1.0121358464435637,1.096223004208227,0.9232937482228835,1.0,1.0,0.007707543617000738
pandas-dev__pandas-44566,371.88408718704795,371.88408718704795,230.10281917137817,1.6161648454644642,1.0,1.0,7.661462738999944
pandas-dev__pandas-44594,243.29852837325384,243.29852837325384,16.685184603722195,14.581710310773419,1.0,1.0,0.013304597782994278
pandas-dev__pandas-44827,1366.5560081327271,1366.5560081327271,225.64209158700095,6.056299152881338,1.0,1.0,1.0155524724000542
pandas-dev__pandas-44908,6.639288694296731,6.639288694296731,2.678253956811487,2.478961592649314,1.0,1.0,0.5751092600799893
pandas-dev__pandas-45387,37.80045848933695,37.80045848933695,5.914567304220961,6.391077579311754,1.0,1.0,0.22049849611998978
pandas-dev__pandas-46040,4.050261725449924,4.050261725449924,3.8388638360384437,1.0550678269510165,1.0,1.0,1.203237562150025
pandas-dev__pandas-46109,12.378445430935537,12.378445430935537,3.6947031042945198,3.350322091252072,1.0,1.0,0.027916672366004605
pandas-dev__pandas-46349,550.8265171025589,550.8265171025589,556.2841044592216,0.9901892085124954,1.0,1.0,1.300412640149807
pandas-dev__pandas-48152,52.841142311798436,52.841142311798436,48.44154109918462,1.0908228993707194,1.0,1.0,0.29051918008995925
pandas-dev__pandas-48723,5919.152266066458,5919.152266066458,1263.5139681015764,4.684674974317819,1.0,1.0,0.40312924878997364
pandas-dev__pandas-48752,1.014919958081563,1.014919958081563,2.6908869964721522,0.377169297488954,1.0,1.0,0.2896987119999994
pandas-dev__pandas-49177,3.979215844788802,3.979215844788802,3.437425894949353,1.1576150196097337,1.0,1.0,0.004670832504973078
pandas-dev__pandas-49772,1.5499251696612968,1.5499251696612968,2.1162576387985443,0.7323896397327267,1.0,1.0,0.23288421367986303
pandas-dev__pandas-49839,8.363615695681181,8.363615695681181,6.190121151325909,1.3511231026374526,1.0,1.0,0.00016626726700451398
pandas-dev__pandas-50078,1.503895635238924,1.503895635238924,2.089875281105598,0.7196102316896749,1.0,1.0,0.712094565260013
pandas-dev__pandas-50168,2.342014191436546,2.342014191436546,2.384910252651828,0.9820135532699459,1.0,1.0,0.27307342144009455
pandas-dev__pandas-50620,5.677753282494383,5.677753282494383,5.311935995719193,1.0688670358735488,1.0,1.0,0.04885607714997604
pandas-dev__pandas-51518,19.921697081999074,19.921697081999074,20.208432781332505,0.985811086765803,1.0,1.0,0.5221895029999724
pandas-dev__pandas-52430,635.1547799169788,635.1547799169788,649.3563205810389,0.9781298183848389,1.0,1.0,0.13208655360801458
pandas-dev__pandas-52525,5.743903501277873,5.743903501277873,3.037423795347343,1.8910444798899166,1.0,1.0,1.8216632369199761
